//File Created from Spray glider sat file
//File updated on 06/26/2025 10:29
//Float ID: 25420901
//WMO ID: 25420901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF	PHIN_CANYONB[Total]	QF
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	45.40	0	9.9145	0	33.9060	0	1026.116	0	45.064	0	229.24	0	82.7	0	-1e10	0	1.1022	0	-1e10	0	8.0737	0	-1e10	0	-1e10	0	2266	0	2075	0	364.7	0	2.052	0	7.8483	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929060	0	0.000014	0	-0.985700	0	0.000011	0	36.80	0	-0.07	0	7.9269	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	48.50	0	10.8850	0	34.1435	0	1026.133	0	48.141	0	223.43	0	82.4	0	-1e10	0	0.3730	0	-1e10	0	8.0595	0	-1e10	0	-1e10	0	2277	0	2084	0	380.3	0	2.083	0	7.8494	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929330	0	0.000012	0	-0.985900	0	0.000008	0	36.20	0	-0.09	0	7.9442	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	52.60	0	10.2445	0	34.0725	0	1026.190	0	52.210	0	223.10	0	81.1	0	-1e10	0	0.2491	0	-1e10	0	8.0554	0	-1e10	0	-1e10	0	2273	0	2087	0	383.5	0	2.013	0	7.8359	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929960	0	0.000011	0	-0.986300	0	0.000007	0	36.20	0	-0.07	0	7.9312	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	57.70	0	10.0000	0	34.0443	0	1026.210	0	57.271	0	221.78	0	80.2	0	-1e10	0	0.2109	0	-1e10	0	8.0493	0	-1e10	0	-1e10	0	2272	0	2090	0	389.1	0	1.969	0	7.8265	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930440	0	0.000012	0	-0.986900	0	0.000007	0	36.80	0	-0.07	0	7.9240	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	62.90	0	10.0589	0	34.0541	0	1026.207	0	62.432	0	219.87	0	79.6	0	-1e10	0	0.5090	0	-1e10	0	8.0484	0	-1e10	0	-1e10	0	2272	0	2090	0	389.9	0	1.969	0	7.8267	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930440	0	0.000011	0	-0.987200	0	0.000004	0	36.40	0	-0.07	0	7.9220	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	65.70	0	10.2805	0	34.1160	0	1026.218	0	65.211	0	216.87	0	78.9	0	-1e10	0	0.2387	0	-1e10	0	8.0511	0	-1e10	0	-1e10	0	2275	0	2089	0	387.5	0	1.998	0	7.8327	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930170	0	0.000009	0	-0.987200	0	0.000018	0	36.40	0	-0.05	0	7.9234	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	70.00	0	10.5505	0	34.2071	0	1026.242	0	69.478	0	214.26	0	78.5	0	-1e10	0	0.2565	0	-1e10	0	8.0492	0	-1e10	0	-1e10	0	2279	0	2092	0	389.8	0	2.016	0	7.8351	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930140	0	0.000010	0	-0.987400	0	0.000016	0	36.40	0	-0.10	0	7.9287	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	74.30	0	11.0433	0	34.3382	0	1026.257	0	73.745	0	209.79	0	77.7	0	-1e10	0	0.2074	0	-1e10	0	8.0488	0	-1e10	0	-1e10	0	2285	0	2094	0	391.2	0	2.059	0	7.8423	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.929900	0	0.000018	0	-0.987500	0	0.000004	0	35.60	0	-0.07	0	7.9356	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	78.30	0	11.3230	0	34.4277	0	1026.276	0	77.715	0	204.90	0	76.4	0	-1e10	0	0.2309	0	-1e10	0	8.0410	0	-1e10	0	-1e10	0	2290	0	2099	0	399.9	0	2.054	0	7.8390	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930200	0	0.000017	0	-0.988100	0	0.000008	0	35.50	0	-0.08	0	7.9361	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	82.60	0	11.8973	0	34.5992	0	1026.303	0	81.982	0	198.56	0	75.1	0	-1e10	0	0.2187	0	-1e10	0	8.0285	0	-1e10	0	-1e10	0	2298	0	2108	0	414.6	0	2.058	0	7.8356	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.930620	0	0.000018	0	-0.988500	0	0.000012	0	35.90	0	-0.10	0	7.9427	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	86.60	0	11.4775	0	34.5407	0	1026.336	0	85.951	0	198.51	0	74.4	0	-1e10	0	0.2130	0	-1e10	0	8.0212	0	-1e10	0	-1e10	0	2295	0	2111	0	421.8	0	1.993	0	7.8224	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.931280	0	0.000012	0	-0.988900	0	0.000010	0	35.60	0	-0.07	0	7.9348	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	90.30	0	11.1517	0	34.4731	0	1026.343	0	89.622	0	198.12	0	73.7	0	-1e10	0	0.6331	0	-1e10	0	8.0184	0	-1e10	0	-1e10	0	2292	0	2111	0	424.1	0	1.953	0	7.8150	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.931610	0	0.000010	0	-0.989100	0	0.000011	0	35.20	0	-0.06	0	7.9261	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	94.00	0	11.2798	0	34.5080	0	1026.347	0	93.294	0	196.45	0	73.3	0	-1e10	0	0.3271	0	-1e10	0	8.0169	0	-1e10	0	-1e10	0	2293	0	2113	0	425.8	0	1.958	0	7.8156	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.931620	0	0.000015	0	-0.989300	0	0.000012	0	35.50	0	-0.06	0	7.9273	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	98.70	0	11.0773	0	34.4936	0	1026.373	0	97.957	0	193.00	0	71.7	0	-1e10	0	0.2561	0	-1e10	0	8.0042	0	-1e10	0	-1e10	0	2293	0	2118	0	439.7	0	1.893	0	7.8006	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.932460	0	0.000012	0	-0.989900	0	0.000010	0	35.90	0	-0.07	0	7.9181	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	104.90	0	10.7242	0	34.5037	0	1026.444	0	104.109	0	189.50	0	69.8	0	-1e10	0	0.2717	0	-1e10	0	7.9909	0	-1e10	0	-1e10	0	2293	0	2126	0	454.7	0	1.820	0	7.7827	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.933460	0	0.000012	0	-0.990700	0	0.000007	0	35.80	0	-0.07	0	7.9095	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	112.30	0	10.6230	0	34.5648	0	1026.509	0	111.451	0	186.04	0	68.4	0	-1e10	0	0.3601	0	-1e10	0	7.9825	0	-1e10	0	-1e10	0	2296	0	2133	0	464.6	0	1.785	0	7.7735	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.934040	0	0.000010	0	-0.991500	0	0.000009	0	34.70	0	-0.07	0	7.9079	0
25420901	1	C	04/04/2025	14:21	-74.846	35.810	0	117.20	0	10.5521	0	34.6178	0	1026.563	0	116.313	0	184.05	0	67.6	0	-1e10	0	0.2460	0	-1e10	0	7.9803	0	-1e10	0	-1e10	0	2298	0	2136	0	467.3	0	1.775	0	7.7705	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	-0.934250	0	0.000009	0	-0.992300	0	0.000007	0	33.60	0	-0.07	0	7.9084	0
