//File Created from Spray glider sat file
//File updated on 02/13/2025 08:15
//Float ID: 25202901
//WMO ID: 25202901
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	b_bp700[1/m]	QF	pHinsitu[Total]	QF	b_bp532[1/m]	QF	CDOM[ppb]	QF	TALK_CANYONB[µmol/kg]	QF	DIC_CANYONB[µmol/kg]	QF	pCO2_CANYONB[µatm]	QF	SAT_AR_CANYONB[]	QF	pH25C_1atm[Total]	QF	DOWNWELL_PAR[µmol Quanta/m^2/sec]	QF	DOWN_IRRAD380[W/m^2/nm]	QF	DOWN_IRRAD443[W/m^2/nm]	QF	DOWN_IRRAD490[W/m^2/nm]	QF	VRS[Volts]	QF	VRS_STD[Volts]	QF	VK[Volts]	QF	VK_STD[Volts]	QF	IK[nA]	QF	Ib[nA]	QF
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	52.52	0	12.1850	0	33.3200	0	1025.255	0	52.126	0	249.00	0	93.8	0	-1e10	0	0.1485	0	-1e10	0	7.9317	0	-1e10	0	-1e10	0	2232	0	2090	0	524.7	0	1.636	0	7.7458	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321800	0	0.000000	0	0.363000	0	0.000000	0	-6.67	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	51.68	0	12.1890	0	33.3160	0	1025.251	0	51.292	0	248.93	0	93.8	0	-1e10	0	0.1426	0	-1e10	0	7.9316	0	-1e10	0	-1e10	0	2231	0	2089	0	524.8	0	1.636	0	7.7457	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321800	0	0.000000	0	0.362900	0	0.000000	0	-13.33	0	187.70	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	50.72	0	12.0350	0	33.4540	0	1025.387	0	50.340	0	248.88	0	93.6	0	-1e10	0	0.1554	0	-1e10	0	7.9368	0	-1e10	0	-1e10	0	2238	0	2094	0	518.9	0	1.653	0	7.7484	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321900	0	0.000000	0	0.362800	0	0.000000	0	-20.00	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	49.72	0	12.1710	0	33.3300	0	1025.266	0	49.347	0	249.01	0	93.8	0	-1e10	0	0.1495	0	-1e10	0	7.9320	0	-1e10	0	-1e10	0	2232	0	2090	0	524.5	0	1.637	0	7.7457	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321800	0	0.000000	0	0.362500	0	0.000000	0	-20.00	0	187.70	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	48.68	0	12.1870	0	33.3160	0	1025.252	0	48.315	0	249.12	0	93.9	0	-1e10	0	0.1505	0	-1e10	0	7.9316	0	-1e10	0	-1e10	0	2231	0	2090	0	524.9	0	1.637	0	7.7456	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321800	0	0.000000	0	0.362300	0	0.000000	0	-6.67	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	46.60	0	12.1190	0	33.3800	0	1025.314	0	46.251	0	248.75	0	93.7	0	-1e10	0	0.1475	0	-1e10	0	7.9332	0	-1e10	0	-1e10	0	2235	0	2092	0	523.4	0	1.642	0	7.7460	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321800	0	0.000000	0	0.362200	0	0.000000	0	-33.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	45.40	0	12.1770	0	33.3280	0	1025.263	0	45.060	0	248.94	0	93.8	0	-1e10	0	0.1416	0	-1e10	0	7.9319	0	-1e10	0	-1e10	0	2232	0	2090	0	524.8	0	1.638	0	7.7456	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321800	0	0.000000	0	0.362100	0	0.000000	0	-20.00	0	187.70	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	44.20	0	12.2030	0	33.3080	0	1025.242	0	43.869	0	248.95	0	93.9	0	-1e10	0	0.1564	0	-1e10	0	7.9331	0	-1e10	0	-1e10	0	2231	0	2089	0	523.1	0	1.643	0	7.7472	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321900	0	0.000000	0	0.362000	0	0.000000	0	-13.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	43.16	0	12.2070	0	33.3100	0	1025.243	0	42.837	0	248.95	0	93.9	0	-1e10	0	0.1594	0	-1e10	0	7.9331	0	-1e10	0	-1e10	0	2231	0	2089	0	523.2	0	1.643	0	7.7472	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321900	0	0.000000	0	0.361900	0	0.000000	0	-33.33	0	187.80	0
25202901	1	C	02/05/2025	16:59	-121.859	36.805	0	41.92	0	12.2230	0	33.3000	0	1025.232	0	41.607	0	248.75	0	93.8	0	-1e10	0	0.1564	0	-1e10	0	7.9329	0	-1e10	0	-1e10	0	2231	0	2088	0	523.6	0	1.643	0	7.7471	0	-1e10	0	-1e10	0	-1e10	0	-1e10	0	0.321900	0	0.000000	0	0.361700	0	0.000000	0	-20.00	0	187.80	0
